alg,fid,dim,seed,f
SCA,12,10,2029,2915.5172557925903
SCA,12,10,2030,2892.192507700436
SCA,12,10,2031,2904.0510285292403
SCA,12,10,2032,2891.2406973184
SCA,12,10,2033,2911.736448847474
SCA,12,10,2034,2907.415604596704
SCA,12,10,2035,2918.5381268843944
SCA,12,10,2036,2929.357812691872
SCA,12,10,2037,2895.649599018512
SCA,12,10,2038,2925.738845242085
SCA,12,10,2039,2919.052572089299
SCA,12,10,2040,2908.775667669743
SCA,12,10,2041,2926.2568180997937
SCA,12,10,2042,2926.6303749074173
SCA,12,10,2043,2919.8670826524044
SCA,12,10,2044,2944.315376215142
SCA,12,10,2045,2905.130334644968
SCA,12,10,2046,2934.089528343577
SCA,12,10,2047,2925.089013303512
SCA,12,10,2048,2934.5823545113817
SCA,12,10,2049,2940.1910401199016
SCA,12,10,2050,2900.787050141505
SCA,12,10,2051,2929.0734026583286
SCA,12,10,2052,2913.953569793725
SCA,12,10,2053,2906.0351954289536
SCA,12,10,2054,2922.1410540352904
SCA,12,10,2055,2909.312887605399
LSHADE,4,10,2026,812.1298219096135
LSHADE,4,10,2027,810.0177037865526
LSHADE,4,10,2028,818.0372292302388
LSHADE,4,10,2029,822.0001432262814
LSHADE,4,10,2030,816.0006177702726
LSHADE,4,10,2031,818.2483951349698
LSHADE,4,10,2032,814.0930557511533
LSHADE,4,10,2033,808.2716173714017
LSHADE,4,10,2034,813.7913312985847
